1;Fifa 17 для PS4;3990;./i/fifa-17-ps4_ps-4_cover.png;FIFA 17, подарит игрокам по-настоящему реалистичную игру. В игровом процессе произошли большие изменения, теперь футболисты еще более реалистично двигаются, мыслят, физически контактируют с игроками соперника, исполняют стандартные положения и используют новые приемы во время атакующих действий, благодаря чему вы сможете контролировать каждый момент на футбольном поле.
2;Battlefield 1 для PS4;3490;./i/battlefield-1-ps4_ps-4_cover.png;Станьте свидетелем рассвета мировых войн в игре Battlefield 1. Откройте новый мир в захватывающей кампании или присоединяйтесь к масштабным многопользовательским битвам с поддержкой до 64 игроков.
3;Skyrim Special Ed для PS4;2790;./i/elder-scrolls-v-skyrim-special-edition-ps4_ps-4_cover.png;Самая популярная фэнтезийная RPG в истории Ремастеринг в потрясающем HD качестве для Xbox One и Playstation 4 Обладатель более 200 наград "Игра года" Включает в себя всю мощь модов ПК для консолей Также включает в себя все DLC (Dawnguard, Heathfire, Dragonborn)
4;Uncharted 4: Путь вора (A Thief's End) для PS4;1990;./i/uncharted-4-thiefs-end-ps4_ps-4_cover.png;Серия Uncharted знаменита своим кинематографическим подходом, и «Путь вора» продолжает эту традицию, обещая стать самым впечатляющим приключением на PlayStation 4. В арсенале Натана Дрейка появится веревка, крюк-кошка и прочая экипировка для скалолазания. Кроме того, впервые в истории серии Uncharted игроки смогут свободно управлять различными средствами передвижения. На новый уровень качества выйдет знаменитый мультиплеер Uncharted.
5;Mafia 3 (Мафия III) для PS4;1990;./i/mafia-3-ps4_ps-4_cover.png;Бонус за предзаказ: Набор «Семейный откат»: 3 эксклюзивных ствола и 3 автомобиля.
6;Ведьмак 3: Дикая Охота (Witcher 3: Wild Hunt) для PS4;2990;./i/3-witcher-3-wild-hunt-goty-ps4_ps-4_cover.png;У Меча Предназначения два острия. Одно из них – ты.
